trx_code,trx_id,rek_code,rek,creationdate,type,balance
233822,371848437,1922,2526,2024-10-21 20:02:14+07:00,,19556549.620523036
281563,370918907,2346,9437,2024-10-17 08:23:41+07:00,,52714390.730885305
310541,370287760,2212,5908,2024-10-14 07:44:47+07:00,,28037156.26241591
37018,370872355,3799,7665,2024-10-16 23:04:24+07:00,,54112495.48414306
142422,362772092,7868,825,2024-10-01 00:13:21+07:00,,2462400.2468035156
128215,312221200,11465,7639,2024-06-06 18:51:53+07:00,,15206738.361664092
576302,362740207,2604,13082,2024-10-01 00:11:37+07:00,,26671354.033954494
316534,371805906,14602,13945,2024-10-21 16:39:36+07:00,,40776602.67852044
435860,370502689,5614,1207,2024-10-15 09:21:01+07:00,,54707796.41645953
355943,367221236,10641,8538,2024-10-01 17:24:45+07:00,,42397908.99694132
505898,371528573,2623,6240,2024-10-20 07:09:48+07:00,,6756438.438122291
460774,371710495,1035,6672,2024-10-21 07:07:41+07:00,,29248237.06834875
34251,370484455,3533,6228,2024-10-15 07:07:53+07:00,,42650213.71369199
508484,371710644,13507,9175,2024-10-21 07:07:52+07:00,,34267579.96194349
505934,371734141,2979,8562,2024-10-21 10:02:26+07:00,,27217607.159232203
507070,371504187,20365,11071,2024-10-19 22:58:46+07:00,,38132948.99320626
109389,371710529,6719,2109,2024-10-21 07:07:43+07:00,,49581277.63574621
37163,371711721,515,541,2024-10-21 07:09:25+07:00,,38840413.27566293
233807,371711224,6583,15414,2024-10-21 07:08:41+07:00,,9034217.316233227
525412,371365612,893,15169,2024-10-19 10:53:28+07:00,,26787976.732998773
440300,371710280,4090,11745,2024-10-21 07:07:21+07:00,,38499468.52499361
460781,371711703,12429,10694,2024-10-21 07:09:24+07:00,,1536929.6056620667
193677,371865019,15927,11920,2024-10-21 21:30:29+07:00,,5584636.586983703
577720,370985378,19084,15442,2024-10-17 14:44:55+07:00,,36670871.178511135
505928,371710582,19108,11284,2024-10-21 07:07:47+07:00,,52541888.106857106
331565,371711478,15382,2864,2024-10-21 07:09:03+07:00,,1810690.1599550303
315819,371710713,9718,10957,2024-10-21 07:07:58+07:00,,4152356.4648385085
284605,371435417,3821,15923,2024-10-19 17:02:47+07:00,,25665661.43059455
109370,371607910,2524,9210,2024-10-20 15:56:27+07:00,,41975248.64242492
525511,371880587,14301,2673,2024-10-21 23:47:37+07:00,,3703517.070669018
39817,371449898,1688,7977,2024-10-19 18:11:17+07:00,,44992629.08252292
304728,370592988,19034,7354,2024-10-15 17:10:32+07:00,,46440634.14570209
39671,370592943,2297,7638,2024-10-15 17:10:19+07:00,,38069066.6046437
505930,371711098,11213,1734,2024-10-21 07:08:31+07:00,,9985091.321943201
290007,369802962,18084,6376,2024-10-11 19:35:40+07:00,,53546441.85997073
